TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,8","1,8","0,00054"
8,"29,85","13,85","0,00062"
13,"64,2","38,2","0,00079"
18,"108,65","72,65","0,00102"
23,"170,3","124,3","0,00118"
28,"245,45","189,45","0,00133"
33,"237,25","181,3","0,00228"
38,"282,9","221,0","0,00267"
43,"333,15","262,9","0,00276"
48,"376,2","307,0","0,00408"
53,"398,75","327,4","0,00355"
58,"468,05","385,35","0,00384"
63,"514,2","429,3","0,00416"
68,"548,6","473,1","0,00457"
73,"594,25","511,2","0,00477"
78,"629,85","552,8","0,00495"
83,"718,5","616,4","0,00556"
88,"730,95","633,9","0,00581"
93,"785,35","687,65","0,00626"
98,"828,0","727,5","0,00655"
103,"864,3","785,6","0,00694"
10000,"133121,85","155138,65","1,16761"
20000,"281092,65","332609,4","2,54398"
30000,"433568,9","518279,65","3,97895"
40000,"588627,95","721135,3","5,38380"
50000,"748787,3","911389,35","6,95535"
60000,"910333,8","1112357,75","8,43729"
70000,"1072192,95","1313586,6","9,97905"
80000,"1236903,35","1524608,0","11,62569"
90000,"1402893,35","1734525,95","12,99262"
100000,"1569305,5","1943037,4","14,58990"
200000,"3282810,7","4109298,05","30,81339"
300000,"5039041,85","6449709,0","48,38423"
400000,"6849946,5","8712929,05","68,38900"
500000,"8676874,4","1,107102905E7","87,31776"
600000,"1,05293341E7","1,346991075E7","111,91507"
700000,"1,237943505E7","1,59829089E7","121,08536"
800000,"1,42705686E7","1,844882455E7","143,38155"
900000,"1,615934595E7","2,08934448E7","169,62911"
1000000,"1,80691453E7","2,33895879E7","182,12907"
