TamArray,NumAsig,NumComp,Tiempo(ns)
88,"595","509","8612.0"
88,"588","521","8547.0"
88,"599","574","12080.0"
88,"588","511","8914.0"
88,"601","553","11264.0"
88,"592","536","8484.0"
88,"561","577","15621.0"
88,"583","494","8672.0"
88,"586","675","8946.0"
88,"600","497","7850.0"
88,"584","572","8541.0"
88,"580","509","8314.0"
88,"580","514","7661.0"
88,"579","541","8450.0"
88,"594","544","11935.0"
88,"572","590","9076.0"
88,"553","498","8144.0"
88,"603","539","7499.0"
88,"606","557","8639.0"
88,"585","500","8068.0"
