TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,4","1,4","0,00077"
8,"29,25","13,25","0,00065"
13,"57,4","34,6","0,00151"
18,"87,95","58,25","0,00200"
23,"123,65","90,25","0,00228"
28,"152,55","115,5","0,00263"
33,"188,3","144,45","0,00446"
38,"222,8","173,5","0,00474"
43,"257,1","211,1","0,00546"
48,"293,15","240,75","0,00585"
53,"329,8","273,4","0,00647"
58,"375,45","314,8","0,00714"
63,"406,8","345,35","0,00770"
68,"439,3","384,15","0,00836"
73,"477,1","410,6","0,00871"
78,"547,6","486,4","0,00863"
83,"552,3","479,85","0,00934"
88,"597,55","539,85","0,00842"
93,"638,45","586,1","0,00895"
98,"678,1","613,8","0,00967"
103,"710,7","675,6","0,00958"
10000,"117010,35","141853,45","1,45045"
20000,"248413,75","308119,6","3,09648"
30000,"384682,1","485923,5","4,80266"
40000,"529387,45","661760,55","6,45464"
50000,"668406,05","849609,5","7,88521"
60000,"814430,15","1032220,15","10,02579"
70000,"960656,45","1233906,15","11,61779"
80000,"1107506,5","1426833,3","13,80734"
90000,"1259868,1","1622816,85","15,12580"
100000,"1408724,15","1817058,75","17,52899"
200000,"2961005,35","3881206,55","35,91250"
300000,"4564020,95","6055349,0","54,51872"
400000,"6202251,55","8226801,95","76,91158"
500000,"7875302,65","1,045465855E7","97,60503"
600000,"9568270,0","1,271936345E7","117,71130"
700000,"1,12709371E7","1,51212971E7","137,55296"
800000,"1,297766125E7","1,74874652E7","162,08768"
900000,"1,47171156E7","1,975581075E7","184,50486"
1000000,"1,64594714E7","2,21176926E7","208,50529"
