tam,comparaciones,accesos,tiempo
2000,13630,13630,295070
40,170,170,28768
90,458,458,72261
700,5429,5429,35086
5000,42822,42822,71732
500,3061,3061,5444
20,75,75,1279
60,255,255,2673
6000,53247,53247,86780
400,2583,2583,7281
9000,80025,80025,120136
80,455,455,7822
3000,27396,27396,48623
200,1153,1153,7364
8000,92251,92251,146820
1000,7745,7745,11157
100,464,464,999
600,4320,4320,7111
300,1991,1991,3283
10000,99668,99668,154766
900,5963,5963,11538
30,126,126,396
4000,32516,32516,62417
10,32,32,263
70,398,398,1337
800,5184,5184,11739
7000,65981,65981,123428
50,244,244,722
