tam,comparaciones,accesos,tiempo
2000,4000,2003,96357
40,80,43,2876
90,180,93,5156
700,1400,703,43928
5000,10000,5003,175890
500,1000,503,2863
20,40,23,240
60,120,63,455
6000,12000,6003,38933
400,800,403,952
9000,18000,9003,13929
80,160,83,306
3000,6000,3003,5004
200,400,203,1267
8000,16000,8003,13739
1000,2000,1003,1933
100,200,103,347
600,1200,603,1154
300,600,303,670
10000,20000,10003,15314
900,1800,903,1801
30,60,33,430
4000,8000,4003,5900
10,20,13,124
70,140,73,981
800,1600,803,1809
7000,14000,7003,10274
50,100,53,352
