tam,comparaciones,accesos,tiempo
2000,8698,15992,172924
40,169,312,1098
90,388,712,2133
700,3026,5592,19275
5000,21710,39992,208224
500,2172,3992,42406
20,81,152,854
60,257,472,3361
6000,26126,47992,110926
400,1736,3192,13301
9000,39101,71992,156025
80,341,632,1546
3000,13060,23992,51620
200,867,1592,3823
8000,34843,63992,133863
1000,4350,7992,16866
100,431,792,3178
600,2599,4792,10455
300,1297,2392,5193
10000,43362,79992,180508
900,3896,7192,16600
30,127,232,649
4000,17426,31992,74320
10,37,72,693
70,298,552,4328
800,3474,6392,17771
7000,30378,55992,121338
50,212,392,1018
