tam,comparaciones,accesos,tiempo
700000,9565499,9565499,6211018
800,5590,5590,76247
300,1773,1773,10009
1000000,14275134,14275134,8724139
10,28,28,261
100,508,508,882
200,1168,1168,1699
500,3553,3553,3088
50000,550040,550040,344000
2000,15500,15500,11479
700,4727,4727,3855
70000,803035,803035,518388
4000,36711,36711,24926
7000,66743,66743,47238
100000,1121660,1121660,717608
30000,326600,326600,241033
400000,5125859,5125859,3550457
80,392,392,1339
200000,2557358,2557358,1551685
80000,997005,997005,589459
8000,73335,73335,57247
800000,10714446,10714446,6310858
3000,24716,24716,16737
5000,45127,45127,28302
90000,1035680,1035680,606569
10000,101088,101088,65963
90,457,457,707
60,279,279,522
9000,87558,87558,61541
600,4312,4312,3309
500000,6576690,6576690,3732937
6000,54008,54008,35835
900,6540,6540,4648
400,2638,2638,2314
1000,7611,7611,5488
70,350,350,601
40,167,167,388
30,118,118,921
20,71,71,804
20000,215461,215461,137959
50,208,208,424
300000,3967051,3967051,2285856
60000,665451,665451,452420
900000,13246994,13246994,7534227
600000,8498600,8498600,4699870
40000,427119,427119,261219
