tam,comparaciones,accesos,tiempo
700000,1400000,700003,1046341
800,1600,803,1328
300,600,303,523
1000000,2000000,1000003,1528822
10,20,13,156
100,200,103,410
200,400,203,615
500,1000,503,870
50000,100000,50003,73350
2000,4000,2003,3567
700,1400,703,1915
70000,140000,70003,109004
4000,8000,4003,6056
7000,14000,7003,11231
100000,200000,100003,143673
30000,60000,30003,41350
400000,800000,400003,518073
80,160,83,681
200000,400000,200003,254335
80000,160000,80003,102863
8000,16000,8003,10204
800000,1600000,800003,1079291
3000,6000,3003,4275
5000,10000,5003,6695
90000,180000,90003,109779
10000,20000,10003,13282
90,180,93,299
60,120,63,245
9000,18000,9003,11514
600,1200,603,972
500000,1000000,500003,661549
6000,12000,6003,7813
900,1800,903,1307
400,800,403,1131
1000,2000,1003,1529
70,140,73,664
40,80,43,217
30,60,33,434
20,40,23,378
20000,40000,20003,27749
50,100,53,225
300000,600000,300003,451234
60000,120000,60003,77293
900000,1800000,900003,1278568
600000,1200000,600003,813238
40000,80000,40003,55716
