tam,comparaciones,accesos,tiempo
700000,3038056,5599992,12565537
800,3470,6392,17806
300,1299,2392,6323
1000000,4352601,7999992,17037651
10,39,72,228
100,431,792,1956
200,865,1592,8212
500,2174,3992,19576
50000,217707,399992,899807
2000,8705,15992,45924
700,3043,5592,13239
70000,304244,559992,1188420
4000,17418,31992,77467
7000,30421,55992,131711
100000,435362,799992,1696506
30000,130469,239992,574624
400000,1741567,3199992,6713480
80,344,632,2471
200000,870821,1599992,3464569
80000,346862,639992,1349908
8000,34841,63992,133116
800000,3482986,6399992,13676468
3000,13035,23992,53312
5000,21682,39992,97064
90000,390865,719992,1634781
10000,43344,79992,175468
90,384,712,2195
60,256,472,1328
9000,39081,71992,172980
600,2593,4792,10701
500000,2176369,3999992,8623256
6000,26123,47992,108494
900,3910,7192,16334
400,1733,3192,7388
1000,4349,7992,18146
70,299,552,1781
40,168,312,776
30,125,232,582
20,82,152,412
20000,86725,159992,377365
50,212,392,1483
300000,1301445,2399992,4964819
60000,260903,479992,1058122
900000,3911476,7199992,15030821
600000,2603008,4799992,10936615
40000,173433,319992,755351
